"NAME"	"HSC-like"	"Progenitor-like"	"Promono-like"	"Monocyte-like"	"cDC-like"
"NPTX2"	1	0	0	0	0
"H1F0"	1	0	0	0	0
"EMP1"	1	0	0	0	0
"MEIS1"	1	0	0	0	0
"CALCRL"	1	0	0	0	0
"TPSD1"	1	0	0	0	0
"TPT1"	1	0	0	0	0
"CRHBP"	1	0	0	0	0
"CLNK"	1	0	0	0	0
"TSC22D1"	1	0	0	0	0
"DST"	1	0	0	0	0
"NRIP1"	1	0	0	0	0
"ABCB1"	1	0	0	0	0
"GABRA4"	1	0	0	0	0
"ZBTB20"	1	0	0	0	0
"ABCA9"	1	0	0	0	0
"TPSB2"	1	0	0	0	0
"KMT2A"	1	0	0	0	0
"FAM30A"	1	0	0	0	0
"MEF2C"	1	0	0	0	0
"TMEM74"	1	0	0	0	0
"PDZRN4"	1	0	0	0	0
"ST3GAL1"	1	0	0	0	0
"XIRP2"	1	0	0	0	0
"RBPMS"	1	0	0	0	0
"TMEM25"	1	0	0	0	0
"C20orf203"	1	0	0	0	0
"GNG11"	1	0	0	0	0
"SLC6A13"	1	0	0	0	0
"HOPX"	1	0	0	0	0
"CMTM2"	1	0	0	0	0
"HIST1H2BK"	1	0	0	0	0
"NPDC1"	1	0	0	0	0
"SCRN1"	1	0	0	0	0
"MECOM"	1	0	0	0	0
"CXCL2"	1	0	0	0	0
"CCS"	1	0	0	0	0
"FAM74A4"	1	0	0	0	0
"UMODL1-AS1"	1	0	0	0	0
"CCDC18-AS1"	1	0	0	0	0
"TTLL10"	1	0	0	0	0
"CFAP61"	1	0	0	0	0
"PLCB4"	1	0	0	0	0
"SPON1"	1	0	0	0	0
"LINC01770"	1	0	0	0	0
"CACNB4"	1	0	0	0	0
"CCDC144NL-AS1"	1	0	0	0	0
"RNF217"	1	0	0	0	0
"ZPBP"	1	0	0	0	0
"MPPED2"	1	0	0	0	0
"CDK6"	0	1	0	0	0
"HSP90AB1"	0	1	0	0	0
"SPINK2"	0	1	0	0	0
"EEF1B2"	0	1	0	0	0
"PCNP"	0	1	0	0	0
"TAPT1-AS1"	0	1	0	0	0
"HINT1"	0	1	0	0	0
"LRRC75A-AS1"	0	1	0	0	0
"DSE"	0	1	0	0	0
"PEBP1"	0	1	0	0	0
"LOC107984974"	0	1	0	0	0
"H2AFY"	0	1	0	0	0
"EEF1A1"	0	1	0	0	0
"SMIM24"	0	1	0	0	0
"PSME1"	0	1	0	0	0
"SOX4"	0	1	0	0	0
"LINC01623"	0	1	0	0	0
"EEF1G"	0	1	0	0	0
"EBPL"	0	1	0	0	0
"EIF4B"	0	1	0	0	0
"PARP1"	0	1	0	0	0
"MEST"	0	1	0	0	0
"TMEM70"	0	1	0	0	0
"TFDP2"	0	1	0	0	0
"ATP5G2"	0	1	0	0	0
"NAP1L1"	0	1	0	0	0
"MSI2"	0	1	0	0	0
"TPM4"	0	1	0	0	0
"SPN"	0	1	0	0	0
"SELL"	0	1	0	0	0
"RACK1"	0	1	0	0	0
"CTSC"	0	1	0	0	0
"PRDX6"	0	1	0	0	0
"EGFL7"	0	1	0	0	0
"SNHG6"	0	1	0	0	0
"NOP53"	0	1	0	0	0
"MRPL57"	0	1	0	0	0
"SELENOP"	0	1	0	0	0
"CCDC152"	0	1	0	0	0
"SRSF6"	0	1	0	0	0
"SNHG8"	0	1	0	0	0
"B4GALT6"	0	1	0	0	0
"HNRNPA1"	0	1	0	0	0
"KIF2A"	0	1	0	0	0
"HSH2D"	0	1	0	0	0
"PTPRCAP"	0	1	0	0	0
"NACA2"	0	1	0	0	0
"PDLIM1"	0	1	0	0	0
"CPA3"	0	1	0	0	0
"GNPTAB"	0	1	0	0	0
"DEFB1"	0	0	1	0	0
"RNASE2"	0	0	1	0	0
"MS4A3"	0	0	1	0	0
"SERPINB10"	0	0	1	0	0
"SESN3"	0	0	1	0	0
"ZFR"	0	0	1	0	0
"MRPL33"	0	0	1	0	0
"CTSG"	0	0	1	0	0
"SLC44A1"	0	0	1	0	0
"SLPI"	0	0	1	0	0
"FUT4"	0	0	1	0	0
"SRGN"	0	0	1	0	0
"CD70"	0	0	1	0	0
"PRLR"	0	0	1	0	0
"PLD3"	0	0	1	0	0
"LPL"	0	0	1	0	0
"RETN"	0	0	1	0	0
"TP53INP2"	0	0	1	0	0
"HSPA5"	0	0	1	0	0
"RNASE3"	0	0	1	0	0
"CCL23"	0	0	1	0	0
"EMB"	0	0	1	0	0
"ATP8B4"	0	0	1	0	0
"CLU"	0	0	1	0	0
"FAM107B"	0	0	1	0	0
"KBTBD11"	0	0	1	0	0
"CSTA"	0	0	1	0	0
"ANKRD28"	0	0	1	0	0
"PIWIL4"	0	0	1	0	0
"RNVU1-6"	0	0	1	0	0
"F13A1"	0	0	1	0	0
"PROK2"	0	0	1	0	0
"IL31RA"	0	0	1	0	0
"PLAC8"	0	0	1	0	0
"ELF1"	0	0	1	0	0
"EP400NL"	0	0	1	0	0
"EAF2"	0	0	1	0	0
"RFX8"	0	0	1	0	0
"PTGFR"	0	0	1	0	0
"JUN"	0	0	1	0	0
"FRMD3"	0	0	1	0	0
"HOXB-AS3"	0	0	1	0	0
"PHACTR3"	0	0	1	0	0
"AK2"	0	0	1	0	0
"ECRP"	0	0	1	0	0
"DDIT3"	0	0	1	0	0
"RFLNB"	0	0	1	0	0
"FEZ1"	0	0	1	0	0
"SERPINB2"	0	0	1	0	0
"CDKN2A"	0	0	1	0	0
"FCN1"	0	0	0	1	0
"S100A12"	0	0	0	1	0
"MAFB"	0	0	0	1	0
"VCAN"	0	0	0	1	0
"S100A9"	0	0	0	1	0
"PLBD1"	0	0	0	1	0
"SERPINA1"	0	0	0	1	0
"BCL2A1"	0	0	0	1	0
"THBS1"	0	0	0	1	0
"PSAP"	0	0	0	1	0
"S100A8"	0	0	0	1	0
"FPR1"	0	0	0	1	0
"C5AR1"	0	0	0	1	0
"CD14"	0	0	0	1	0
"NAMPT"	0	0	0	1	0
"VNN2"	0	0	0	1	0
"CTSS"	0	0	0	1	0
"DUSP1"	0	0	0	1	0
"CEBPB"	0	0	0	1	0
"CR1"	0	0	0	1	0
"NFKBIA"	0	0	0	1	0
"SLC11A1"	0	0	0	1	0
"LILRB3"	0	0	0	1	0
"BCL6"	0	0	0	1	0
"CYP1B1"	0	0	0	1	0
"TNFAIP2"	0	0	0	1	0
"MS4A10"	0	0	0	1	0
"AQP9"	0	0	0	1	0
"TLR4"	0	0	0	1	0
"APOBEC3A"	0	0	0	1	0
"LRRK2"	0	0	0	1	0
"CD163"	0	0	0	1	0
"LRP1"	0	0	0	1	0
"S100A10"	0	0	0	1	0
"CD68"	0	0	0	1	0
"MEGF9"	0	0	0	1	0
"NCF2"	0	0	0	1	0
"LOC643802"	0	0	0	1	0
"IFNGR1"	0	0	0	1	0
"FTL"	0	0	0	1	0
"SLC24A4"	0	0	0	1	0
"CD300E"	0	0	0	1	0
"CXCL8"	0	0	0	1	0
"CLEC7A"	0	0	0	1	0
"NEAT1"	0	0	0	1	0
"CLEC4E"	0	0	0	1	0
"CRISPLD2"	0	0	0	1	0
"MEFV"	0	0	0	1	0
"ACSL1"	0	0	0	1	0
"NCF1"	0	0	0	1	0
"MRC1"	0	0	0	0	1
"HLA-DRB5"	0	0	0	0	1
"CST3"	0	0	0	0	1
"SAMHD1"	0	0	0	0	1
"NAPSB"	0	0	0	0	1
"FCER1A"	0	0	0	0	1
"HLA-DRB1"	0	0	0	0	1
"JAML"	0	0	0	0	1
"PKIB"	0	0	0	0	1
"HLA-DRA"	0	0	0	0	1
"HLA-DRB6"	0	0	0	0	1
"CPVL"	0	0	0	0	1
"HLA-DPB1"	0	0	0	0	1
"HLA-DQA1"	0	0	0	0	1
"HLA-DPA1"	0	0	0	0	1
"CLEC4A"	0	0	0	0	1
"TMSB10"	0	0	0	0	1
"CAP1"	0	0	0	0	1
